cipher,state_width,difference_weight,samples,neutral_mean,neutral_median,neutral_q25,neutral_q75,neutral_min,neutral_max,empty_count,empty_rate,independent_mean,independent_empty_count,independent_empty_rate
Simeck-32,32,1,32,4.5,4.5,2.0,7.0,2,7,0,0.0,3.5,0,0.0
Simeck-32,32,2,32,1.03125,0.0,0.0,1.25,0,4,17,0.53125,0.96875,18,0.5625
Simeck-32,32,4,32,0.0625,0.0,0.0,0.0,0,1,30,0.9375,0.03125,31,0.96875
Simeck-32,32,8,32,0.0,0.0,0.0,0.0,0,0,32,1.0,0.0,32,1.0
Simeck-32,32,16,32,0.0,0.0,0.0,0.0,0,0,32,1.0,0.0,32,1.0
Simeck-32,32,24,32,0.0,0.0,0.0,0.0,0,0,32,1.0,0.0,32,1.0
Simeck-48,48,1,32,13.0,13.0,8.0,18.0,8,18,0,0.0,12.0,0,0.0
Simeck-48,48,2,32,3.875,2.5,2.0,5.0,0,15,4,0.125,3.0625,15,0.46875
Simeck-48,48,4,32,0.40625,0.0,0.0,1.0,0,4,22,0.6875,0.28125,26,0.8125
Simeck-48,48,8,32,0.0,0.0,0.0,0.0,0,0,32,1.0,0.0,32,1.0
Simeck-48,48,16,32,0.0,0.0,0.0,0.0,0,0,32,1.0,0.0,32,1.0
Simeck-48,48,24,32,0.0,0.0,0.0,0.0,0,0,32,1.0,0.0,32,1.0
Simeck-48,48,32,32,0.0,0.0,0.0,0.0,0,0,32,1.0,0.0,32,1.0
